id,title,text,website,link,timestamp
0,LinkedIn is training AI models on your data,You’ll need to opt out twice to stop LinkedIn from using your account data for training in the future — but anything already done is done.,theverge.com,https://cur.at/jQH1bhM?m=web,1727024918.184068
1,"Microsoft, BlackRock to launch $30 billion fund for AI infrastructure","BlackRock (BLK.N), opens new tab and Microsoft (MSFT.O), opens new tab plan to launch a more than $30 billion fund to invest in artificial intelligence infrastructure to build data centers and energy projects, the companies said on Tuesday.",reuters.com,https://cur.at/gsDuh3J?m=web,1727024918.184068
2,Ban warnings fly as users dare to probe the “thoughts” of OpenAI’s latest model,"OpenAI truly does not want you to know what its latest AI model is ""thinking."" Since the company launched its ""Strawberry"" AI model family last week, touting so-called reasoning abilities with o1-preview and o1-mini, OpenAI has been sending out warning emails and threats of bans to any user who tries to probe how the model works.",arstechnica.com,https://cur.at/jU4939h?m=web,1727024918.184068
3,"Global AI fund needed to help developing nations tap tech benefits, UN says","Governments and private companies should contribute to a global AI fund that will allow developing nations to benefit from advances in the technology, according to a UN report.",theguardian.com,https://cur.at/AIynnba?m=web,1727024918.184068
4,AI Stocks: The 10 Best AI Companies,"Artificial intelligence, automation and robotics are disrupting virtually every industry. In recent years, the world has gotten a firsthand look at remarkable advances in AI technology, including OpenAI's ChatGPT AI chatbot, GitHub's Copilot AI code generation software and Google's Gemini AI model.",usnews.com,https://cur.at/5p1JxRT?m=web,1727024926.819975
5,OpenAI aims to raise at least $5bn at $150bn valuation,"OpenAI is aiming to raise at least $5bn at a valuation of $150bn from investors including Apple, Nvidia, Microsoft and Thrive Capital, in a deal that could almost double the artificial intelligence start-up’s valuation.",ft.com,https://cur.at/kSf3DmV?m=web,1727024926.819975
6,OpenAI co-founder Sutskever's new safety-focused AI startup SSI raises $1 billion," Safe Superintelligence (SSI), newly co-founded by OpenAI's former chief scientist Ilya Sutskever, has raised $1 billion in cash to help develop safe artificial intelligence systems that far surpass human capabilities, company executives told Reuters.",reuters.com,https://cur.at/QMbv01M?m=web,1727024926.819975
7,Here’s what your iPhone 16 will do with Apple Intelligence — eventually,"Apple Intelligence will miss the launch of the new iPhones, but here’s what’s coming in the iOS 18.1 update and beyond.",theverge.com,https://cur.at/wF91wOm?m=web,1727024926.819975
8,AI’s impact on elections is being overblown,"This year, close to half the world’s population has the opportunity to participate in an election. And according to a steady stream of pundits, institutions, academics, and news organizations, there’s a major new threat to the integrity of those elections: artificial intelligence.",technologyreview.com,https://cur.at/w2wu8Gl?m=web,1727024933.974706
9," Elon Musk’s attacks on Kamala Harris become more unhinged, with help from AI ","Elon Musk’s disdain for the Democratic Party was never subtle, but in recent weeks his commentary on the upcoming US presidential election and his attacks against Vice President Kamala Harris have intensified, aided by a crude use of burgeoning artificial intelligence technology.",cnn.com,https://cur.at/fOsFBmQ?m=web,1727024933.974706
